time,flow,temp,salt,aed_oxygen_oxy,aed_silica_rsi,aed_nitrogen_amm,aed_nitrogen_nit,aed_phosphorus_frp,aed_organic_matter_pon,aed_organic_matter_don,aed_organic_matter_pop,aed_organic_matter_dop,aed_organic_matter_poc,aed_organic_matter_doc,aed_phytoplankton_phy03,aed_phytoplankton_phy07,aed_phytoplankton_phy08
1997-01-01,1020.923675,15,0.33152,327.5,0,2.071428571,113.5714286,1.387096774,0,0,0,0,0,0,0,0,0
1997-01-02,965.0196646,14.5,0.318668,331.09375,0,2.142857143,123.5714286,1.612903226,0,0,0,0,0,0,0,0,0
1997-01-03,1030.802685,14.5,0.3101,331.125,0,1.357142857,121.4285714,1.290322581,0,0,0,0,0,0,0,0,0
1997-01-04,964.3465519,14,0.305204,334.78125,0,2.071428571,117.1428571,1.225806452,0,0,0,0,0,0,0,0,0
1997-01-05,956.0242229,13,0.312548,342.28125,0,1.714285714,124.2857143,1.290322581,0,0,0,0,0,0,0,0,0
1997-01-06,947.7240032,13.5,0.32846,338.46875,0,2.5,127.8571429,1.516129032,0,0,0,0,0,0,0,0,0
1997-01-07,931.4017882,13.5,0.330296,338.46875,0,3.071428571,131.4285714,1.516129032,0,0,0,0,0,0,0,0,0
1997-01-08,948.4093396,14,0.324176,334.75,0,2.142857143,126.4285714,1.419354839,0,0,0,0,0,0,0,0,0
1997-01-09,936.9613093,14,0.31316,334.78125,0,1.285714286,128.5714286,1.677419355,0,0,0,0,0,0,0,0,0
1997-01-10,951.2985402,14,0.316832,334.75,0,1.571428571,120.7142857,1.483870968,0,0,0,0,0,0,0,0,0
1997-01-11,943.1832328,14,0.315608,334.75,0,1.428571429,122.8571429,1.516129032,0,0,0,0,0,0,0,0,0
1997-01-12,939.4785139,14,0.310712,334.78125,0,3.857142857,125,1.322580645,0,0,0,0,0,0,0,0,0
1997-01-13,897.6797747,14.5,0.319892,331.09375,0,1.214285714,125.7142857,1.290322581,0,0,0,0,0,0,0,0,0
1997-01-14,898.8806089,14.5,0.319892,331.09375,0,1.428571429,136.4285714,1.741935484,0,0,0,0,0,0,0,0,0
1997-01-15,957.7894708,15,0.315608,327.53125,0,1.071428571,125,1.709677419,0,0,0,0,0,0,0,0,0
1997-01-16,1058.079313,15,0.321116,327.53125,0,2.714285714,132.1428571,2.774193548,0,0,0,0,0,0,0,0,0
1997-01-17,1011.999968,15,0.327236,327.5,0,1.142857143,137.1428571,4.258064516,0,0,0,0,0,0,0,0,0
1997-01-18,963.3085626,15,0.324788,327.5,0,1.142857143,135,3.225806452,0,0,0,0,0,0,0,0,0
1997-01-19,941.2714977,14,0.324176,334.75,0,0.5,125.7142857,2.677419355,0,0,0,0,0,0,0,0,0
1997-01-20,899.5186682,14,0.333968,334.71875,0,0.5,122.1428571,1.548387097,0,0,0,0,0,0,0,0,0
1997-01-21,937.2824163,14,0.337028,334.71875,0,0.857142857,137.8571429,4.548387097,0,0,0,0,0,0,0,0,0
1997-01-22,958.427384,14,0.341312,334.71875,0,1.857142857,133.5714286,1.903225806,0,0,0,0,0,0,0,0,0
1997-01-23,1063.148159,14,0.349268,334.6875,0,3.142857143,148.5714286,2.290322581,0,0,0,0,0,0,0,0,0
1997-01-24,1037.777588,14,0.348044,334.6875,0,2.571428571,135,1.967741935,0,0,0,0,0,0,0,0,0
1997-01-25,986.6173513,14,0.348656,334.6875,0,1.214285714,136.4285714,3.838709677,0,0,0,0,0,0,0,0,0
1997-01-26,998.4617521,14,0.344372,334.71875,0,0.5,141.4285714,4.741935484,0,0,0,0,0,0,0,0,0
1997-01-27,1002.782745,14,0.339476,334.71875,0,2,127.1428571,2.064516129,0,0,0,0,0,0,0,0,0
1997-01-28,1046.60055,14,0.34376,334.71875,0,1.428571429,136.4285714,3.612903226,0,0,0,0,0,0,0,0,0
1997-01-29,1031.424564,14.5,0.341924,331.0625,0,1.571428571,120.7142857,1.35483871,0,0,0,0,0,0,0,0,0
1997-01-30,1048.435331,14,0.33458,334.71875,0,0.357142857,127.1428571,3.161290323,0,0,0,0,0,0,0,0,0
1997-01-31,1094.290868,14,0.339476,334.71875,0,0.785714286,129.2857143,1.387096774,0,0,0,0,0,0,0,0,0
1997-02-01,1036.652621,13,0.343148,342.21875,0,6.357142857,134.2857143,2.516129032,0,0,0,0,0,0,0,0,0
1997-02-02,1019.015189,11,0.340088,358.1875,0,4.357142857,127.1428571,2.387096774,0,0,0,0,0,0,0,0,0
1997-02-03,1646.839031,12.25,0.322952,348.09375,0,3.642857143,139.2857143,2.161290323,0,0,0,0,0,0,0,0,0
1997-02-04,2177.520278,12.25,0.307652,348.125,0,5.714285714,155.7142857,3.709677419,0,0,0,0,0,0,0,0,0
1997-02-05,1793.109973,13.25,0.34988,340.3125,0,7.785714286,180.7142857,2.64516129,0,0,0,0,0,0,0,0,0
1997-02-06,1385.945819,12.5,0.370688,346.03125,0,0.142857143,147.8571429,1.935483871,0,0,0,0,0,0,0,0,0
1997-02-07,1213.817441,12.5,0.360896,346.0625,0,0.142857143,139.2857143,1.290322581,0,0,0,0,0,0,0,0,0
1997-02-08,1132.563436,12,0.355388,350,0,1.857142857,140,1.806451613,0,0,0,0,0,0,0,0,0
1997-02-09,1122.648208,11,0.355388,358.15625,0,1.714285714,150.7142857,1.612903226,0,0,0,0,0,0,0,0,0
1997-02-10,1112.45459,12,0.341312,350.03125,0,1.928571429,135.7142857,1.258064516,0,0,0,0,0,0,0,0,0
1997-02-11,1039.489495,12,0.341312,350.03125,0,1.714285714,142.8571429,1.967741935,0,0,0,0,0,0,0,0,0
1997-02-12,985.4353498,13,0.336416,342.25,0,0.714285714,142.8571429,1.35483871,0,0,0,0,0,0,0,0,0
1997-02-13,1040.846069,13,0.324788,342.25,0,0.285714286,130,1.064516129,0,0,0,0,0,0,0,0,0
1997-02-14,1049.557727,13,0.321116,342.28125,0,0.142857143,122.1428571,0.64516129,0,0,0,0,0,0,0,0,0
1997-02-15,996.8783797,13,0.311936,342.28125,0,0.071428571,120.7142857,0.677419355,0,0,0,0,0,0,0,0,0
1997-02-16,1029.656572,13,0.314384,342.28125,0,0.071428571,127.1428571,0.548387097,0,0,0,0,0,0,0,0,0
