time,ShortWave,Cloud,AirTemp,RelHum,WindSpeed,Rain
1993-12-07 00:00:00,0,1,1.3,100,1,0
1993-12-07 01:00:00,0,1,1.4,100,0.5,0
1993-12-07 02:00:00,0,1,1.4,100,1,0
1993-12-07 03:00:00,0,1,1.4,100,1,0
1993-12-07 04:00:00,0,1,1.4,100,0,0
1993-12-07 05:00:00,0,1,1.3,100,0.5,0
1993-12-07 06:00:00,0,1,1.5,100,0,1e-04
1993-12-07 07:00:00,0,1,2,99.93,2.1,0
1993-12-07 08:00:00,0,1,2.2,100,4.1,0
1993-12-07 09:00:00,2.78,1,2.3,100,2.6,0
1993-12-07 10:00:00,8.34,1,2.4,99.33,3.1,0
1993-12-07 11:00:00,19.46,1,2.6,90.46,4.6,0
1993-12-07 12:00:00,38.92,1,2.6,89.78,3.1,2e-04
1993-12-07 13:00:00,41.7,1,2.9,89.89,3.6,0
1993-12-07 14:00:00,75.06,1,3.2,87.35,3.1,0
1993-12-07 15:00:00,33.36,1,3,87.27,2.6,0
1993-12-07 16:00:00,8.34,0.875,3.3,86.74,4.6,0
1993-12-07 17:00:00,0,1,4.2,73.05,4.1,0
1993-12-07 18:00:00,0,1,3.8,85.61,4.1,3e-04
1993-12-07 19:00:00,0,1,3.4,93.83,2.1,0
1993-12-07 20:00:00,0,1,2.7,99.26,5.7,0
1993-12-07 21:00:00,0,1,2.9,99.33,5.1,0
1993-12-07 22:00:00,0,1,3.4,97.94,5.1,0
1993-12-07 23:00:00,0,1,3.7,93.25,5.1,0
1993-12-08 00:00:00,0,1,4,90.57,5.7,0.002
1993-12-08 01:00:00,0,1,3.3,97.98,5.7,0
1993-12-08 02:00:00,0,1,2.6,99.97,3.6,0
1993-12-08 03:00:00,0,0.875,2.9,97.87,5.7,0
1993-12-08 04:00:00,0,1,2.8,97.89,4.1,0
1993-12-08 05:00:00,0,1,2.9,99.99,3.1,0
1993-12-08 06:00:00,0,1,3.1,100,2.6,0.005
1993-12-08 07:00:00,0,1,3.4,99.99,2.1,0
1993-12-08 08:00:00,0,1,3.8,100,5.1,0
1993-12-08 09:00:00,13.9,1,4.1,100,5.1,0
1993-12-08 10:00:00,36.14,1,4.2,100,4.1,0
1993-12-08 11:00:00,100.08,1,4.6,93.22,3.1,0
1993-12-08 12:00:00,63.94,1,4.4,97.28,2.6,0.002
1993-12-08 13:00:00,44.48,1,4.2,96.59,3.1,0
1993-12-08 14:00:00,33.36,1,4,100,1.5,0
1993-12-08 15:00:00,13.9,1,4.1,100,2.1,0
1993-12-08 16:00:00,5.56,1,6.1,100,5.7,0
