time,flow
1993-12-07,479.52
1993-12-08,479.52
1993-12-09,479.52
1993-12-10,479.52
1993-12-11,479.52
1993-12-12,479.52
1993-12-13,479.52
1993-12-14,479.52
1993-12-15,479.52
1993-12-16,479.52
1993-12-17,479.52
1993-12-18,479.52
1993-12-19,479.52
1993-12-20,479.52
1993-12-21,479.52
1993-12-22,479.52
1993-12-23,479.52
1993-12-24,479.52
1993-12-25,479.52
1993-12-26,479.52
1993-12-27,479.52
1993-12-28,479.52
1993-12-29,479.52
1993-12-30,479.52
1993-12-31,479.52
1994-01-01,479.52
1994-01-02,479.52
1994-01-03,479.52
1994-01-04,479.52
1994-01-05,479.52
1994-01-06,479.52
1994-01-07,479.52
1994-01-08,479.52
1994-01-09,479.52
1994-01-10,479.52
1994-01-11,479.52
1994-01-12,479.52
1994-01-13,479.52
1994-01-14,479.52
1994-01-15,479.52
1994-01-16,479.52
1994-01-17,479.52
1994-01-18,479.52
1994-01-19,479.52
1994-01-20,479.52
1994-01-21,479.52
1994-01-22,479.52
1994-01-23,479.52
1994-01-24,479.52
1994-01-25,479.52
1994-01-26,479.52
1994-01-27,479.52
1994-01-28,479.52
1994-01-29,479.52
1994-01-30,479.52
1994-01-31,479.52
1994-02-01,479.52
1994-02-02,479.52
1994-02-03,479.52
1994-02-04,479.52
1994-02-05,479.52
1994-02-06,479.52
1994-02-07,479.52
1994-02-08,479.52
1994-02-09,479.52
1994-02-10,479.52
1994-02-11,479.52
1994-02-12,479.52
1994-02-13,479.52
1994-02-14,479.52
1994-02-15,479.52
1994-02-16,479.52
1994-02-17,479.52
1994-02-18,479.52
1994-02-19,479.52
1994-02-20,479.52
1994-02-21,479.52
1994-02-22,479.52
1994-02-23,479.52
1994-02-24,479.52
1994-02-25,479.52
1994-02-26,479.52
1994-02-27,479.52
1994-02-28,479.52
1994-03-01,479.52
1994-03-02,479.52
1994-03-03,479.52
1994-03-04,479.52
1994-03-05,479.52
1994-03-06,479.52
1994-03-07,479.52
1994-03-08,479.52
1994-03-09,479.52
1994-03-10,479.52
1994-03-11,479.52
1994-03-12,479.52
1994-03-13,479.52
1994-03-14,479.52
1994-03-15,479.52
1994-03-16,479.52
1994-03-17,479.52
1994-03-18,479.52
1994-03-19,479.52
1994-03-20,479.52
1994-03-21,479.52
1994-03-22,479.52
1994-03-23,479.52
1994-03-24,479.52
1994-03-25,479.52
1994-03-26,479.52
1994-03-27,479.52
1994-03-28,479.52
1994-03-29,479.52
1994-03-30,479.52
1994-03-31,479.52
1994-04-01,479.52
1994-04-02,479.52
