time,flow,temp,salt,aed_oxygen_oxy,aed_silica_rsi,aed_nitrogen_amm,aed_nitrogen_nit,aed_phosphorus_frp,aed_organic_matter_pon,aed_organic_matter_don,aed_organic_matter_pop,aed_organic_matter_dop,aed_organic_matter_poc,aed_organic_matter_doc,aed_phytoplankton_phy03,aed_phytoplankton_phy07,aed_phytoplankton_phy08
1997-01-01,40.28225806,15.11197,0.2872,0.653625,0,0.001142857,0.175,0.000774194,0,0,0,0,0,0,0,0,0
1997-01-02,40.28225806,15.11197,0.2872,0.653625,0,0.001142857,0.175714286,0.000870968,0,0,0,0,0,0,0,0,0
1997-01-03,40.28225806,15.11197,0.2872,0.653625,0,0.000785714,0.165,0.000741935,0,0,0,0,0,0,0,0,0
1997-01-04,40.28225806,15.11197,0.2872,0.653625,0,0.001142857,0.153571429,0.000645161,0,0,0,0,0,0,0,0,0
1997-01-05,40.28225806,15.11197,0.2872,0.653625,0,0.000928571,0.152142857,0.000677419,0,0,0,0,0,0,0,0,0
1997-01-06,40.28225806,15.11197,0.2872,0.653625,0,0.001285714,0.159285714,0.000806452,0,0,0,0,0,0,0,0,0
1997-01-07,40.28225806,15.11197,0.2872,0.653625,0,0.001571429,0.148571429,0.000774194,0,0,0,0,0,0,0,0,0
1997-01-08,40.28225806,15.11197,0.2872,0.653625,0,0.001142857,0.147857143,0.000741935,0,0,0,0,0,0,0,0,0
1997-01-09,40.28225806,15.11197,0.2872,0.653625,0,0.000642857,0.151428571,0.000870968,0,0,0,0,0,0,0,0,0
1997-01-10,40.28225806,15.11197,0.2872,0.653625,0,0.000857143,0.142857143,0.000774194,0,0,0,0,0,0,0,0,0
1997-01-11,40.28225806,15.11197,0.2872,0.653625,0,0.000714286,0.247142857,0.000806452,0,0,0,0,0,0,0,0,0
1997-01-12,40.28225806,15.11197,0.2872,0.653625,0,0.002,0.25,0.000677419,0,0,0,0,0,0,0,0,0
1997-01-13,40.28225806,15.11197,0.2872,0.653625,0,0.000571429,0.165714286,0.000645161,0,0,0,0,0,0,0,0,0
1997-01-14,40.28225806,15.11197,0.2872,0.653625,0,0.000714286,0.17,0.000870968,0,0,0,0,0,0,0,0,0
1997-01-15,40.28225806,15.11197,0.2872,0.653625,0,0.000571429,0.175714286,0.000903226,0,0,0,0,0,0,0,0,0
1997-01-16,40.28225806,15.11197,0.2872,0.653625,0,0.000785714,0.161428571,0.000806452,0,0,0,0,0,0,0,0,0
1997-01-17,40.28225806,15.11197,0.2872,0.653625,0,0.000357143,0.157857143,0.001387097,0,0,0,0,0,0,0,0,0
1997-01-18,40.28225806,15.11197,0.2872,0.653625,0,0.0005,0.175,0.001387097,0,0,0,0,0,0,0,0,0
1997-01-19,40.28225806,15.11197,0.2872,0.653625,0,0.000214286,0.175714286,0.001225806,0,0,0,0,0,0,0,0,0
1997-01-20,40.28225806,15.11197,0.2872,0.653625,0,0.000214286,0.165,0.000709677,0,0,0,0,0,0,0,0,0
1997-01-21,40.28225806,15.11197,0.2872,0.653625,0,0.000428571,0.153571429,0.002258065,0,0,0,0,0,0,0,0,0
1997-01-22,40.28225806,15.11197,0.2872,0.653625,0,0.000785714,0.152142857,0.000806452,0,0,0,0,0,0,0,0,0
1997-01-23,40.28225806,15.11197,0.2872,0.653625,0,0.001142857,0.159285714,0.000806452,0,0,0,0,0,0,0,0,0
1997-01-24,40.28225806,15.11197,0.2872,0.653625,0,0.001142857,0.148571429,0.000870968,0,0,0,0,0,0,0,0,0
1997-01-25,40.28225806,15.11197,0.2872,0.653625,0,0.000571429,0.147857143,0.001806452,0,0,0,0,0,0,0,0,0
1997-01-26,40.28225806,15.11197,0.2872,0.653625,0,0.000214286,0.151428571,0.002290323,0,0,0,0,0,0,0,0,0
1997-01-27,40.28225806,15.11197,0.2872,0.653625,0,0.001,0.142857143,0.001,0,0,0,0,0,0,0,0,0
1997-01-28,40.28225806,15.11197,0.2872,0.653625,0,0.000785714,0.247142857,0.001903226,0,0,0,0,0,0,0,0,0
1997-01-29,40.28225806,15.11197,0.2872,0.653625,0,0.000857143,0.25,0.000741935,0,0,0,0,0,0,0,0,0
1997-01-30,40.28225806,15.11197,0.2872,0.653625,0,0.000214286,0.165714286,0.001677419,0,0,0,0,0,0,0,0,0
1997-01-31,40.28225806,15.11197,0.2872,0.653625,0,0.000428571,0.156428571,0.000741935,0,0,0,0,0,0,0,0,0
1997-02-01,871.5714286,15.73566,0.2809,0.6449375,0,0.003285714,0.161428571,0.001322581,0,0,0,0,0,0,0,0,0
1997-02-02,871.5714286,15.73566,0.2809,0.6449375,0,0.002357143,0.158571429,0.001290323,0,0,0,0,0,0,0,0,0
1997-02-03,871.5714286,15.73566,0.2809,0.6449375,0,0.001428571,0.159285714,0.000870968,0,0,0,0,0,0,0,0,0
1997-02-04,871.5714286,15.73566,0.2809,0.6449375,0,0.001714286,0.144285714,0.001129032,0,0,0,0,0,0,0,0,0
1997-02-05,871.5714286,15.73566,0.2809,0.6449375,0,0.001857143,0.144285714,0.000645161,0,0,0,0,0,0,0,0,0
1997-02-06,871.5714286,15.73566,0.2809,0.6449375,0,7.14E-05,0.140714286,0.000677419,0,0,0,0,0,0,0,0,0
1997-02-07,871.5714286,15.73566,0.2809,0.6449375,0,7.14E-05,0.142142857,0.000580645,0,0,0,0,0,0,0,0,0
1997-02-08,871.5714286,15.73566,0.2809,0.6449375,0,0.001,0.145714286,0.000935484,0,0,0,0,0,0,0,0,0
1997-02-09,871.5714286,15.73566,0.2809,0.6449375,0,0.001,0.138571429,0.000903226,0,0,0,0,0,0,0,0,0
1997-02-10,871.5714286,15.73566,0.2809,0.6449375,0,0.001071429,0.111428571,0.000709677,0,0,0,0,0,0,0,0,0
1997-02-11,871.5714286,15.73566,0.2809,0.6449375,0,0.000928571,0.131428571,0.001032258,0,0,0,0,0,0,0,0,0
1997-02-12,871.5714286,15.73566,0.2809,0.6449375,0,0.000357143,0.136428571,0.000677419,0,0,0,0,0,0,0,0,0
1997-02-13,871.5714286,15.73566,0.2809,0.6449375,0,0.000142857,0.159285714,0.000548387,0,0,0,0,0,0,0,0,0
1997-02-14,871.5714286,15.73566,0.2809,0.6449375,0,7.14E-05,0.156428571,0.000354839,0,0,0,0,0,0,0,0,0
1997-02-15,871.5714286,15.73566,0.2809,0.6449375,0,7.14E-05,0.161428571,0.000354839,0,0,0,0,0,0,0,0,0
1997-02-16,871.5714286,15.73566,0.2809,0.6449375,0,7.14E-05,0.158571429,0.000290323,0,0,0,0,0,0,0,0,0
1997-02-17,871.5714286,15.73566,0.2809,0.6449375,0,7.14E-05,0.159285714,0.000677419,0,0,0,0,0,0,0,0,0
1997-02-18,871.5714286,15.73566,0.2809,0.6449375,0,7.14E-05,0.144285714,0.000967742,0,0,0,0,0,0,0,0,0
1997-02-19,871.5714286,15.73566,0.2809,0.6449375,0,0.000357143,0.144285714,0.000741935,0,0,0,0,0,0,0,0,0
1997-02-20,871.5714286,15.73566,0.2809,0.6449375,0,0.001928571,0.140714286,0.001322581,0,0,0,0,0,0,0,0,0
1997-02-21,871.5714286,15.73566,0.2809,0.6449375,0,0.000785714,0.142142857,0.000935484,0,0,0,0,0,0,0,0,0
1997-02-22,871.5714286,15.73566,0.2809,0.6449375,0,0,0.145714286,3.23E-05,0,0,0,0,0,0,0,0,0
1997-02-23,871.5714286,15.73566,0.2809,0.6449375,0,0.000142857,0.138571429,6.45E-05,0,0,0,0,0,0,0,0,0
1997-02-24,871.5714286,15.73566,0.2809,0.6449375,0,0.000642857,0.111428571,0.000290323,0,0,0,0,0,0,0,0,0
1997-02-25,871.5714286,15.73566,0.2809,0.6449375,0,0.001,0.131428571,0.000451613,0,0,0,0,0,0,0,0,0
1997-02-26,871.5714286,15.73566,0.2809,0.6449375,0,0.001214286,0.136428571,0.000483871,0,0,0,0,0,0,0,0,0
1997-02-27,871.5714286,15.73566,0.2809,0.6449375,0,0.000285714,0.159285714,0.000548387,0,0,0,0,0,0,0,0,0
1997-02-28,871.5714286,15.73566,0.2809,0.6449375,0,0.000142857,0.159285714,0.000709677,0,0,0,0,0,0,0,0,0
1997-03-01,391.1132258,16.82642,0.2725,0.6301875,0,0.000428571,0.170714286,0.000741935,0,0,0,0,0,0,0,0,0
1997-03-02,391.1132258,16.82642,0.2725,0.6301875,0,0.0005,0.148571429,0.000870968,0,0,0,0,0,0,0,0,0
1997-03-03,391.1132258,16.82642,0.2725,0.6301875,0,0.000642857,0.149285714,0.000451613,0,0,0,0,0,0,0,0,0
1997-03-04,391.1132258,16.82642,0.2725,0.6301875,0,0.000428571,0.156428571,0.000322581,0,0,0,0,0,0,0,0,0
1997-03-05,391.1132258,16.82642,0.2725,0.6301875,0,0.0005,0.159285714,0.000354839,0,0,0,0,0,0,0,0,0
1997-03-06,391.1132258,16.82642,0.2725,0.6301875,0,0.000357143,0.155714286,0.000516129,0,0,0,0,0,0,0,0,0
1997-03-07,391.1132258,16.82642,0.2725,0.6301875,0,0.000285714,0.162142857,0.000354839,0,0,0,0,0,0,0,0,0
1997-03-08,391.1132258,16.82642,0.2725,0.6301875,0,0.000571429,0.153571429,0.000419355,0,0,0,0,0,0,0,0,0
1997-03-09,391.1132258,16.82642,0.2725,0.6301875,0,0.000642857,0.148571429,0.000516129,0,0,0,0,0,0,0,0,0
1997-03-10,391.1132258,16.82642,0.2725,0.6301875,0,0.000785714,0.143571429,0.000451613,0,0,0,0,0,0,0,0,0
1997-03-11,391.1132258,16.82642,0.2725,0.6301875,0,0.000928571,0.137857143,0.000451613,0,0,0,0,0,0,0,0,0
1997-03-12,391.1132258,16.82642,0.2725,0.6301875,0,0.000857143,0.15,0.000451613,0,0,0,0,0,0,0,0,0
1997-03-13,391.1132258,16.82642,0.2725,0.6301875,0,0.001142857,0.150714286,0.000451613,0,0,0,0,0,0,0,0,0
1997-03-14,391.1132258,16.82642,0.2725,0.6301875,0,0.000571429,0.158571429,0.000516129,0,0,0,0,0,0,0,0,0
1997-03-15,391.1132258,16.82642,0.2725,0.6301875,0,0.001714286,0.15,0.000516129,0,0,0,0,0,0,0,0,0
1997-03-16,391.1132258,16.82642,0.2725,0.6301875,0,0.001642857,0.132142857,0.000806452,0,0,0,0,0,0,0,0,0
1997-03-17,391.1132258,16.82642,0.2725,0.6301875,0,0.001071429,0.151428571,0.000645161,0,0,0,0,0,0,0,0,0
1997-03-18,391.1132258,16.82642,0.2725,0.6301875,0,0.000142857,0.170714286,0.00016129,0,0,0,0,0,0,0,0,0
1997-03-19,391.1132258,16.82642,0.2725,0.6301875,0,0.000428571,0.148571429,0.000129032,0,0,0,0,0,0,0,0,0
1997-03-20,391.1132258,16.82642,0.2725,0.6301875,0,0.0005,0.149285714,0.000387097,0,0,0,0,0,0,0,0,0
1997-03-21,391.1132258,16.82642,0.2725,0.6301875,0,0.000285714,0.156428571,0.000548387,0,0,0,0,0,0,0,0,0
